CODE,NAME,NAME_EN,ISO3166-2,NUTS3,NUTS2,NUTS1,AREA,POP2000,POP2014,FROM,FROMDATE,METROPOL,METROPOLDATE
34,İstanbul,istanbul,TR-34,TR100,TR10,TR1,5315.33,10018735,14377018,NA,NA,1,1983
59,Tekirdağ,tekirdag,TR-59,TR211,TR21,TR2,6342.3,623591,906732,NA,NA,1,2013
22,Edirne,edirne,TR-22,TR212,TR21,TR2,6097.91,402606,400280,NA,NA,0,NA
39,Kırklareli,kirklareli,TR-39,TR213,TR21,TR2,6299.78,328461,343723,NA,NA,0,NA
10,Balıkesir,balikesir,TR-10,TR221,TR22,TR2,14472.73,1076347,1189057,NA,NA,1,2013
17,Çanakkale,canakkale,TR-17,TR222,TR22,TR2,9950.43,464975,511790,NA,NA,0,NA
35,İzmir,izmir,TR-35,TR310,TR31,TR3,12015.61,3370866,4113072,NA,NA,1,1986
9,Aydın,aydin,TR-09,TR321,TR32,TR3,7904.43,950757,1041979,NA,NA,1,2013
20,Denizli,denizli,TR-20,TR322,TR32,TR3,11804.19,950757,978700,NA,NA,1,2013
48,Muğla,mugla,TR-48,TR323,TR32,TR3,12949.21,715328,894509,NA,NA,1,2013
45,Manisa,manisa,TR-45,TR331,TR33,TR3,13228.5,1260169,1367905,NA,NA,1,2013
3,Afyonkarahisar,afyonkarahisar,TR-03,TR332,TR33,TR3,14718.63,812416,706371,NA,NA,0,NA
43,Kütahya,kutahya,TR-43,TR333,TR33,TR3,12013.57,656903,571554,NA,NA,0,NA
64,Uşak,usak,TR-64,TR334,TR33,TR3,5363.09,322313,349459,NA,NA,0,NA
16,Bursa,bursa,TR-16,TR411,TR41,TR4,10886.38,2125140,2787539,NA,NA,1,1987
26,Eskisehir,eskisehir,TR-26,TR412,TR41,TR4,13902.03,706009,812320,NA,NA,1,1993
11,Bilecik,bilecik,TR-11,TR413,TR41,TR4,4306.77,194326,209925,NA,NA,0,NA
41,Kocaeli,kocaeli,TR-41,TR421,TR42,TR4,3625.29,1206085,1722795,NA,NA,1,1993
54,Sakarya,sakarya,TR-54,TR422,TR42,TR4,4880.19,756168,932706,NA,NA,1,2000
81,Düzce,duzce,TR-81,TR423,TR42,TR4,2592.95,314266,355549,Bolu,12/09/99,0,NA
14,Bolu,bolu,TR-14,TR424,TR42,TR4,8323.39,270654,284789,NA,NA,0,NA
77,Yalova,yalova,TR-77,TR425,TR42,TR4,850.46,168593,226514,Istanbul,06/10/95,0,NA
6,Ankara,ankara,TR-06,TR510,TR51,TR5,25401.94,4007860,5150072,NA,NA,1,1984
42,Konya,konya,TR-42,TR521,TR52,TR5,40813.52,2192166,2108808,NA,NA,1,1987
70,Karaman,karaman,TR-70,TR522,TR52,TR5,8868.9,243210,240362,Konya,06/21/89,0,NA
7,Antalya,antalya,TR-07,TR611,TR61,TR6,20790.56,1719751,2222562,NA,NA,1,1992
32,Isparta,isparta,TR-32,TR612,TR61,TR6,8871.08,513681,418780,NA,NA,0,NA
15,Burdur,burdur,TR-15,TR613,TR61,TR6,7134.95,256803,256898,NA,NA,0,NA
1,Adana,adana,TR-01,TR621,TR62,TR6,14045.56,1854270,2165595,NA,NA,1,1986
33,Mersin,mersin,TR-33,TR622,TR62,TR6,15512.25,1651400,1727255,NA,NA,1,1993
31,Hatay,hatay,TR-31,TR631,TR63,TR6,5831.36,1253726,1519836,NA,NA,1,2013
46,Kahramanmaraş,kahramanmaras,TR-46,TR632,TR63,TR6,14456.74,1002384,1089038,NA,NA,1,2013
80,Osmaniye,osmaniye,TR-80,TR633,TR63,TR6,3195.99,458782,506807,Adana,10/28/96,0,NA
71,Kırıkkale,kirikkale,TR-71,TR711,TR71,TR7,4569.76,383508,271092,Ankara,06/21/89,0,NA
68,Aksaray,aksaray,TR-68,TR712,TR71,TR7,7965.51,396084,384252,Nigde,06/15/89,0,NA
51,Niğde,nigde,TR-51,TR713,TR71,TR7,7365.29,348081,343898,NA,NA,0,NA
