ServiceName,DataOwner,ServiceType,SummaryInfo,ServiceURL
IDARI SINIR,T.C. Çevre ve Şehircilik Bakanlığı,WMS,Idari Sınır,https://tucbs-public-api.csb.gov.tr/trk_cbs_idari_sinir_wms
IDARI SINIR 2017,T.C. Çevre ve Şehircilik Bakanlığı,WMS,Idari Sınır,https://gis-prod-api.csb.gov.tr/trk_idari_sinir_2017_wms
IDARI SINIR (Koy Mahalle),T.C. Çevre ve Şehircilik Bakanlığı,WMS,Idari Sınır,https://tucbs-public-api.csb.gov.tr/trk_cbs_koy_mah_sinir_wms
IDARI SINIR (HGM),Harita Genel Müdürlüğü,WMS,Idari Sınır,https://tucbs-public-api.csb.gov.tr/trk_hgk_idari_sinir_wms
COĞRAFİ YER ADLARI ,Harita Genel Müdürlüğü,WMS,Coğrafi Yer Adları,https://tucbs-public-api.csb.gov.tr/trk_cya_wms
COGRAFI GRID,T.C. Çevre ve Şehircilik Bakanlığı,WMS,Coğrafi Grid,https://tucbs-public-api.csb.gov.tr/trk_cografigrid_wms
UTM GRID 25000,T.C. Çevre ve Şehircilik Bakanlığı,WMS,Bu servis Türkiye'deki 25000 ölçekteki grid sınırlarını içermektedir,https://tucbs-public-api.csb.gov.tr/trk_utm_zone_wms
UTM GRID 100000,T.C. Çevre ve Şehircilik Bakanlığı,WMS,Bu servis Türkiye'deki 100000 ölçekteki grid sınırlarını içermektedir,https://tucbs-public-api.csb.gov.tr/trk_utm_grid_100_wms
UTM ZONE,T.C. Çevre ve Şehircilik Bakanlığı,WMS,Bu servis Türkiye'deki UTM Zone sınırlarını içermektedir,https://tucbs-public-api.csb.gov.tr/trk_utm_zone_wms
PAFTA LEJAND,T.C. Çevre ve Şehircilik Bakanlığı,WMS,Pafta Lejand,https://tucbs-public-api.csb.gov.tr/pafta_lejand_wms
Antalya-Burdur-Isparta Çevre Düzeni Planı,T.C. Çevre ve Şehircilik Bakanlığı,WMS,Bu servis Antalya-Burdur-Isparta Çevre Düzeni Planını içermektedir,https://tucbs-public-api.csb.gov.tr/csb_cdp_abi_wms
Antalya-Burdur-Isparta Çevre Düzeni Planı,T.C. Çevre ve Şehircilik Bakanlığı,WMTS,Bu servis Antalya-Burdur-Isparta Çevre Düzeni Planını içermektedir,https://tucbs-public-api.csb.gov.tr/csb_cdp_abi_wmts
Çevre Düzeni Planı,T.C. Çevre ve Şehircilik Bakanlığı,WMS,Bu servis Ardahan-Kars-Iğdır-Ağrı Çevre Düzeni Planını içermektedir,https://tucbs-public-api.csb.gov.tr/csb_cdp_akia_wms
Çevre Düzeni Planı,T.C. Çevre ve Şehircilik Bakanlığı,WMS,Bu servis Amasya Çevre Düzeni Planını içermektedir,https://tucbs-public-api.csb.gov.tr/csb_cdp_amasya_wms
Çevre Düzeni Planı,T.C. Çevre ve Şehircilik Bakanlığı,WMS,Bu servis Aydın-Muğla-Denizli Çevre Düzeni Planını içermektedir,https://tucbs-public-api.csb.gov.tr/csb_cdp_amd_wms
Çevre Düzeni Planı,T.C. Çevre ve Şehircilik Bakanlığı,WMS,Bu servis Adıyaman-Şanlıurfa-Diyarbakır  Çevre Düzeni Planını içermektedir,https://tucbs-public-api.csb.gov.tr/csb_cdp_asd_wms
Çevre Düzeni Planı,T.C. Çevre ve Şehircilik Bakanlığı,WMS,Bu servis Bartın 25000  Çevre Düzeni Planını içermektedir,https://tucbs-public-api.csb.gov.tr/csb_cdp_bartin25_wms
Çevre Düzeni Planı,T.C. Çevre ve Şehircilik Bakanlığı,WMS,Bu servis Bilecik Çevre Düzeni Planını içermektedir,https://tucbs-public-api.csb.gov.tr/csb_cdp_bilecik_wms
Çevre Düzeni Planı,T.C. Çevre ve Şehircilik Bakanlığı,WMS,Bu servis Bolu Çevre Düzeni Planını içermektedir,https://tucbs-public-api.csb.gov.tr/csb_cdp_bolu_wms
Çevre Düzeni Planı,T.C. Çevre ve Şehircilik Bakanlığı,WMS,Bu servis Balıkesir-Çanakkale Çevre Düzeni Planını içermektedir,https://tucbs-public-api.csb.gov.tr/csb_cdp_cb_wms
Çevre Düzeni Planı,T.C. Çevre ve Şehircilik Bakanlığı,WMS,Bu servis Erzurum-Erzincan-Bayburt Çevre Düzeni Planını içermektedir,https://tucbs-public-api.csb.gov.tr/csb_cdp_eeb_wms
Çevre Düzeni Planı,T.C. Çevre ve Şehircilik Bakanlığı,WMS,Bu servis Tekirdağ-Kırklareli-Edirne (Trakya Alt bölgesi Ergene Havzası) Çevre Düzeni Planını içermektedir,https://tucbs-public-api.csb.gov.tr/csb_cdp_ergene_wms
Çevre Düzeni Planı,T.C. Çevre ve Şehircilik Bakanlığı,WMS,Bu servis İzmir-Manisa Çevre Düzeni Planını içermektedir,https://tucbs-public-api.csb.gov.tr/csb_cdp_im_wms
Çevre Düzeni Planı,T.C. Çevre ve Şehircilik Bakanlığı,WMS,Bu servis Kilis Planını içermektedir,https://tucbs-public-api.csb.gov.tr/csb_cdp_kilis_wms
Çevre Düzeni Planı,T.C. Çevre ve Şehircilik Bakanlığı,WMS,Bu servis Kırıkkale Çevre Düzeni Planını içermektedir,https://tucbs-public-api.csb.gov.tr/csb_cdp_kirikkale_wms
Çevre Düzeni Planı,T.C. Çevre ve Şehircilik Bakanlığı,WMS,Bu servis Konya-Karaman Çevre Düzeni Planını içermektedir,https://tucbs-public-api.csb.gov.tr/csb_cdp_kk_wms
Çevre Düzeni Planı,T.C. Çevre ve Şehircilik Bakanlığı,WMS,Bu servis Kırşehir-Nevşehir-Niğde-Aksaray Çevre Düzeni Planını içermektedir,https://tucbs-public-api.csb.gov.tr/csb_cdp_knna_wms
Çevre Düzeni Planı,T.C. Çevre ve Şehircilik Bakanlığı,WMS,Bu servis Mersin-Adana Çevre Düzeni Planını içermektedir,https://tucbs-public-api.csb.gov.tr/csb_cdp_ma_wms
Çevre Düzeni Planı,T.C. Çevre ve Şehircilik Bakanlığı,WMS,Bu servis Mardin-Batman-Siirt-Şırnak-Hakkari Çevre Düzeni Planını içermektedir,https://tucbs-public-api.csb.gov.tr/csb_cdp_mbssh_wms
Çevre Düzeni Planı,T.C. Çevre ve Şehircilik Bakanlığı,WMS,Bu servis Muş-Bitlis-Van Çevre Düzeni Planını içermektedir,https://tucbs-public-api.csb.gov.tr/csb_cdp_mbv_wms
Çevre Düzeni Planı,T.C. Çevre ve Şehircilik Bakanlığı,WMS,Bu servis Malatya-Elazığ-Bingöl-Tunceli Çevre Düzeni Planını içermektedir,https://tucbs-public-api.csb.gov.tr/csb_cdp_mebt_wms
Çevre Düzeni Planı,T.C. Çevre ve Şehircilik Bakanlığı,WMS,Bu servis Osmaniye Çevre Düzeni Planını içermektedir,https://tucbs-public-api.csb.gov.tr/csb_cdp_osmaniye_wms
Çevre Düzeni Planı,T.C. Çevre ve Şehircilik Bakanlığı,WMS,Bu servis Ordu-Trabzon-Rize-Giresun-Gümüşhane-Artvin Çevre Düzeni Planını içermektedir,https://tucbs-public-api.csb.gov.tr/csb_cdp_otrgga_wms
Çevre Düzeni Planı,T.C. Çevre ve Şehircilik Bakanlığı,WMS,Bu servis Samsun-Çorum-Tokat Çevre Düzeni Planını içermektedir,https://tucbs-public-api.csb.gov.tr/csb_cdp_sct_wms
Çevre Düzeni Planı,T.C. Çevre ve Şehircilik Bakanlığı,WMS,Bu servis Sinop Çevre Düzeni Planını içermektedir,https://tucbs-public-api.csb.gov.tr/csb_cdp_sinop_wms
Çevre Düzeni Planı,T.C. Çevre ve Şehircilik Bakanlığı,WMS,Bu servis Yozgat-Sivas-Kayseri Çevre Düzeni Planını içermektedir,https://tucbs-public-api.csb.gov.tr/csb_cdp_ysk_wms
Çevre Düzeni Planı,T.C. Çevre ve Şehircilik Bakanlığı,WMS,Bu servis Yalova Çevre Düzeni Planını içermektedir,https://tucbs-public-api.csb.gov.tr/csb_cdp_yalova_wms
