NAME_1_TR,NAME_2_TR,NAME_1_EN,NAME_2_EN,DIST_CNT,CODE,IN_MIB,fromshp1,fromshp2,,IN_GADM
ADANA,ALADAĞ,ADANA,ALADAG,15,1757,1,ADANA ,ALADAĞ,TRUE,1
ADANA,CEYHAN,ADANA,CEYHAN,15,1219,1,ADANA ,CEYHAN,TRUE,1
ADANA,ÇUKUROVA,ADANA,CUKUROVA,15,2033,1,,,FALSE,0
ADANA,FEKE,ADANA,FEKE,15,1329,1,ADANA ,FEKE,TRUE,1
ADANA,İMAMOĞLU,ADANA,IMAMOGLU,15,1806,1,ADANA ,İMAMOĞLU,TRUE,1
ADANA,KARAİSALI,ADANA,KARAISALI,15,1437,1,ADANA ,KARAİSALI,TRUE,1
ADANA,KARATAŞ,ADANA,KARATAS,15,1443,1,ADANA ,KARATAŞ,TRUE,1
ADANA,KOZAN,ADANA,KOZAN,15,1486,1,ADANA ,KOZAN,TRUE,1
ADANA,POZANTI,ADANA,POZANTI,15,1580,1,ADANA ,POZANTI,TRUE,1
ADANA,SAİMBEYLİ,ADANA,SAIMBEYLI,15,1588,1,ADANA ,SAİMBEYLİ,TRUE,1
ADANA,SARIÇAM,ADANA,SARICAM,15,2032,1,,,FALSE,0
ADANA,SEYHAN,ADANA,SEYHAN,15,1104,1,ADANA ,SEYHAN,TRUE,1
ADANA,TUFANBEYLİ,ADANA,TUFANBEYLI,15,1687,1,ADANA ,TUFANBEYLİ,TRUE,1
ADANA,YUMURTALIK,ADANA,YUMURTALIK,15,1734,1,ADANA ,YUMURTALIK,TRUE,1
ADANA,YÜREĞİR,ADANA,YUREGIR,15,1748,1,ADANA ,YÜREĞİR,TRUE,1
ADIYAMAN,BESNİ,ADIYAMAN,BESNI,8,1182,1,ADİYAMAN ,BESNİ,TRUE,1
ADIYAMAN,ÇELİKHAN,ADIYAMAN,CELIKHAN,8,1246,1,ADİYAMAN ,ÇELİKHAN,TRUE,1
ADIYAMAN,GERGER,ADIYAMAN,GERGER,8,1347,1,ADİYAMAN ,GERGER,TRUE,1
ADIYAMAN,GÖLBAŞI,ADIYAMAN,GOLBASI,8,1354,1,ADİYAMAN ,GÖLBAŞI,TRUE,1
ADIYAMAN,KAHTA,ADIYAMAN,KAHTA,8,1425,1,ADİYAMAN ,KAHTA,TRUE,1
ADIYAMAN,MERKEZ,ADIYAMAN,MERKEZ,,1105,0,ADİYAMAN ,MERKEZ,TRUE,1
ADIYAMAN,SAMSAT,ADIYAMAN,SAMSAT,8,1592,1,ADİYAMAN ,SAMSAT,TRUE,1
ADIYAMAN,SİNCİK,ADIYAMAN,SINCIK,8,1985,1,ADİYAMAN ,SİNCİK,TRUE,1
ADIYAMAN,TUT,ADIYAMAN,TUT,8,1989,1,ADİYAMAN ,TUT,TRUE,1
AFYONKARAHİSAR,BAŞMAKÇI,AFYONKARAHISAR,BASMAKCI,17,1771,1,AFYON ,BAŞMAKÇI,TRUE,1
AFYONKARAHİSAR,BAYAT,AFYONKARAHISAR,BAYAT,17,1773,1,AFYON ,BAYAT,TRUE,1
AFYONKARAHİSAR,BOLVADİN,AFYONKARAHISAR,BOLVADIN,17,1200,1,AFYON ,BOLVADİN,TRUE,1
AFYONKARAHİSAR,ÇAY,AFYONKARAHISAR,CAY,17,1239,1,AFYON ,ÇAY,TRUE,1
AFYONKARAHİSAR,ÇOBANLAR,AFYONKARAHISAR,COBANLAR,17,1906,1,AFYON ,ÇOBANLAR,TRUE,1
AFYONKARAHİSAR,DAZKIRI,AFYONKARAHISAR,DAZKIRI,17,1267,1,AFYON ,DAZKIRI,TRUE,1
AFYONKARAHİSAR,DİNAR,AFYONKARAHISAR,DINAR,17,1281,1,AFYON ,DİNAR,TRUE,1
AFYONKARAHİSAR,EMİRDAĞ,AFYONKARAHISAR,EMIRDAG,17,1306,1,AFYON ,EMİRDAĞ,TRUE,1
AFYONKARAHİSAR,EVCİLER,AFYONKARAHISAR,EVCILER,17,1923,1,AFYON ,EVCİLER,TRUE,1
AFYONKARAHİSAR,HOCALAR,AFYONKARAHISAR,HOCALAR,17,1944,1,AFYON ,HOCALAR,TRUE,1
